#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2015,1,1,0,0,235,7.0,-7.4
2015,1,1,1,0,253,9.5,-7.4
2015,1,1,2,0,210,8.5,-7.4
2015,1,1,3,0,249,10.2,-7.3
2015,1,1,4,0,246,8.1,-7.0
2015,1,1,5,0,247,9.4,-7.1
2015,1,1,6,0,234,13.1,-7.5
2015,1,1,7,0,231,15.2,-7.7
2015,1,1,8,0,272,7.1,-8.0
2015,1,1,9,0,207,6.1,-8.2
2015,1,1,10,0,241,7.3,-8.5
2015,1,1,11,0,259,7.0,-8.5
2015,1,1,12,0,255,8.1,-8.6
2015,1,1,13,0,245,12.6,-8.7
2015,1,1,14,0,241,7.6,-7.9
2015,1,1,18,0,254,12.7,-2.4
2015,1,1,19,0,217,17.0,-1.2
2015,1,1,20,0,227,14.7,-0.6
2015,1,1,21,0,222,9.7,-0.8
2015,1,1,22,0,228,10.3,-1.3
2015,1,1,23,0,232,6.5,-1.0
2015,1,2,0,0,246,9.7,-1.0
2015,1,2,1,0,210,10.0,-1.3
2015,1,2,2,0,280,7.6,-1.4
2015,1,2,3,0,269,11.6,-1.8
2015,1,2,4,0,267,5.7,-2.3
2015,1,2,5,0,254,4.5,-2.8
2015,1,2,6,0,268,6.5,-3.0
2015,1,2,7,0,242,5.5,-3.3
2015,1,2,8,0,254,3.5,-3.7
2015,1,2,9,0,246,3.1,-3.8
2015,1,2,10,0,256,5.1,-4.2
2015,1,2,11,0,257,6.5,-4.6
2015,1,2,12,0,234,7.6,-4.7
2015,1,2,13,0,259,7.2,-4.2
2015,1,2,14,0,292,3.8,-3.0
2015,1,2,15,0,306,3.0,-1.7
2015,1,2,17,0,86,3.2,-1.3
2015,1,2,18,0,80,4.0,-1.3
2015,1,2,19,0,121,6.3,-0.8
2015,1,2,20,0,123,7.0,-0.4
2015,1,2,21,0,136,7.8,-0.1
2015,1,2,22,0,136,7.8,0.0
2015,1,2,23,0,148,6.3,0.0
2015,1,3,0,0,147,8.2,0.4
2015,1,3,1,0,145,5.3,0.1
2015,1,3,2,0,141,6.1,0.2
2015,1,3,3,0,176,6.2,0.1
2015,1,3,4,0,150,5.9,0.1
2015,1,3,5,0,143,12.1,0.1
2015,1,3,6,0,165,5.3,0.3
2015,1,3,7,0,135,2.0,0.5
2015,1,3,8,0,132,3.4,-0.4
2015,1,3,9,0,132,10.4,-0.6
2015,1,3,10,0,134,4.7,-0.2
2015,1,3,11,0,145,8.5,0.0
2015,1,3,12,0,148,9.3,0.3
2015,1,3,13,0,138,11.1,0.4
2015,1,3,14,0,136,5.9,0.6
2015,1,3,15,0,139,7.0,0.6
2015,1,3,16,0,158,2.3,0.8
2015,1,3,17,0,185,0.5,0.6
2015,1,3,18,0,50,3.2,0.8
2015,1,3,19,0,324,2.3,0.9
2015,1,3,20,0,339,2.8,1.0
2015,1,3,21,0,333,3.6,0.7
2015,1,3,22,0,341,5.4,0.8
2015,1,3,23,0,330,4.2,1.4
2015,1,4,0,0,325,5.0,1.4
2015,1,4,1,0,322,6.4,1.6
2015,1,4,2,0,340,9.0,1.6
2015,1,4,3,0,334,7.6,1.5
2015,1,4,4,0,346,4.9,1.8
2015,1,4,5,0,332,4.1,1.9
2015,1,4,6,0,358,6.9,0.9
2015,1,4,7,0,331,7.5,1.5
2015,1,4,8,0,310,6.8,1.3
2015,1,4,9,0,308,5.5,0.6
2015,1,4,10,0,297,11.0,0.6
2015,1,4,11,0,309,5.5,0.4
2015,1,4,12,0,306,8.9,0.2
2015,1,4,13,0,286,8.3,0.0
2015,1,4,14,0,305,6.6,-0.3
2015,1,4,15,0,331,9.9,-0.8
2015,1,4,16,0,289,15.7,-2.6
2015,1,4,17,0,298,9.5,-3.8
2015,1,4,18,0,304,9.0,-5.4
2015,1,4,19,0,314,5.9,-6.1
2015,1,4,20,0,299,10.9,-6.9
2015,1,4,21,0,296,16.9,-7.4
2015,1,4,22,0,292,16.0,-9.1
2015,1,4,23,0,298,12.9,-10.0
2015,1,5,0,0,295,10.1,-10.7
2015,1,5,1,0,283,8.7,-11.5
2015,1,5,2,0,283,9.1,-12.4
2015,1,5,3,0,276,14.2,-13.5
2015,1,5,4,0,277,8.1,-14.9
2015,1,5,5,0,293,14.9,-15.7
2015,1,5,6,0,261,8.8,-16.5
2015,1,5,7,0,294,10.9,-17.5
2015,1,5,8,0,244,7.6,-17.8
2015,1,5,9,0,259,9.7,-18.5
2015,1,5,10,0,272,12.3,-18.9
2015,1,5,11,0,263,8.9,-19.1
2015,1,5,12,0,270,8.7,-19.1
2015,1,5,13,0,252,7.0,-18.9
2015,1,5,14,0,288,12.0,-18.5
2015,1,5,15,0,262,12.8,-17.8
2015,1,5,16,0,222,11.0,-16.7
2015,1,5,17,0,262,5.1,-16.8
2015,1,5,18,0,240,6.6,-15.9
2015,1,5,19,0,281,10.7,-15.8
2015,1,5,20,0,286,8.2,-15.6
2015,1,5,21,0,216,7.1,-15.4
2015,1,5,22,0,215,5.7,-15.0
2015,1,5,23,0,198,10.7,-15.0
2015,1,6,0,0,184,10.0,-14.8
2015,1,6,1,0,235,7.4,-14.3
2015,1,6,2,0,261,5.3,-14.2
2015,1,6,3,0,220,5.1,-14.0
2015,1,6,4,0,226,2.7,-13.6
2015,1,6,5,0,232,1.7,-13.3
2015,1,6,6,0,325,2.1,-13.0
2015,1,6,7,0,300,2.0,-12.7
2015,1,6,8,0,287,5.0,-13.5
2015,1,6,9,0,261,6.0,-14.4
2015,1,6,10,0,312,6.5,-14.9
2015,1,6,11,0,300,5.5,-15.4
2015,1,6,12,0,283,6.7,-15.8
2015,1,6,13,0,292,10.7,-15.7
2015,1,6,14,0,286,9.4,-15.0
2015,1,6,15,0,267,13.8,-13.7
2015,1,6,16,0,347,2.5,-12.9
2015,1,6,17,0,291,13.0,-11.8
2015,1,6,18,0,282,15.4,-11.7
2015,1,6,19,0,277,14.9,-11.7
2015,1,6,20,0,246,6.1,-11.6
2015,1,6,21,0,280,16.6,-12.7
2015,1,6,22,0,282,7.6,-13.5
2015,1,6,23,0,275,12.1,-13.5
2015,1,7,0,0,269,7.7,-13.0
2015,1,7,1,0,267,14.4,-12.8
2015,1,7,2,0,265,18.2,-12.5
2015,1,7,3,0,273,13.1,-12.6
2015,1,7,4,0,315,9.3,-13.0
2015,1,7,5,0,283,14.0,-13.8
2015,1,7,6,0,294,12.0,-14.6
2015,1,7,7,0,289,12.0,-15.2
2015,1,7,8,0,278,7.7,-15.6
2015,1,7,9,0,322,15.0,-16.1
2015,1,7,10,0,278,8.0,-16.7
2015,1,7,11,0,309,15.9,-17.2
2015,1,7,12,0,310,12.6,-17.7
2015,1,7,13,0,314,9.1,-17.9
2015,1,7,14,0,321,17.0,-18.0
2015,1,7,15,0,318,9.1,-17.8
2015,1,7,17,0,300,13.4,-17.4
2015,1,7,18,0,292,7.9,-16.9
2015,1,7,19,0,317,14.2,-17.2
2015,1,7,20,0,284,9.2,-17.1
2015,1,7,21,0,301,11.3,-17.6
2015,1,7,22,0,258,7.4,-17.9
2015,1,7,23,0,240,5.9,-18.4
2015,1,8,0,0,252,8.3,-18.5
2015,1,8,1,0,272,13.9,-18.8
2015,1,8,2,0,289,14.3,-19.0
2015,1,8,3,0,276,11.1,-19.4
2015,1,8,4,0,278,14.4,-19.9
2015,1,8,5,0,261,4.6,-20.3
2015,1,8,6,0,236,2.9,-20.6
2015,1,8,7,0,205,2.3,-21.1
2015,1,8,8,0,243,3.4,-21.4
2015,1,8,9,0,242,9.3,-21.3
2015,1,8,10,0,255,15.2,-21.7
2015,1,8,11,0,234,8.9,-21.5
2015,1,8,12,0,215,9.3,-21.0
